product,binary file,Series,download_link,file_name,publish_date,bin_file_size[B],comment
P3S,P3S_FW_V01.10.0090.bin,DJI Phantom 3 Advance,https://dl.djicdn.com/downloads/phantom_3/P3S_FW_V01.10.0090.zip,P3S_FW_V01.10.0090.zip,,,
P3SE,P3SE_FW_V01.01.0000.bin,DJI Phantom 3 SE,https://dl.djicdn.com/downloads/phantom_3/20170331/P3SE_FW_V01.01.0000.bin,P3SE_FW_V01.01.0000.bin,8/7/2017,46801707,
P3SE,P3SE_FW_V01.02.0010.bin,DJI Phantom 3 SE,https://dl.djicdn.com/downloads/phantom_3_se/P3SE_FW_V01.02.0010.bin,P3SE_FW_V01.02.0010.bin,8/7/2017,46803413,
P3SE,P3SE_FW_V01.03.0020.bin,DJI Phantom 3 SE,https://dl.djicdn.com/downloads/phantom_3_se/P3SE_FW_V01.03.0020.bin,P3SE_FW_V01.03.0020.bin,8/7/2017,46829800,
P3X,P3X_FW_V01.01.0006.bin,,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Professional_Firmware_v1.1.6_en.zip,Phantom_3_Professional_Firmware_v1.1.6_en.zip,,,
P3X,P3X_FW_V01.01.0008.bin,DJI phantom 3 Professional,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Professional_Firmware_v1.1.8_en.zip,Phantom_3_Professional_Firmware_v1.1.8_en.zip,,,
P3X,P3X_FW_V01.01.0009.bin,DJI phantom 3 Professional,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Professional_Firmware_v1.1.9_en.zip,Phantom_3_Professional_Firmware_v1.1.9_en.zip,,,
P3X,P3X_FW_V01.01.1003.bin,DJI phantom 3 Professional,https://www.dropbox.com/s/375t56kblxmiqw0/P3X_FW_V01.01.1003.bin?dl=1,P3X_FW_V01.01.1003.bin,,,SDK supported firmware
P3X,P3X_FW_V01.02.0006.bin,DJI phantom 3 Professional,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Professional_Firmware_v1.2.6_en.zip,Phantom_3_Professional_Firmware_v1.2.6_en.zip,,,
P3X,P3X_FW_V01.03.0020.bin,DJI phantom 3 Professional,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Professional_Firmware_v1.3.20_en.zip,Phantom_3_Professional_Firmware_v1.3.20_en.zip,,,
P3X,P3X_FW_V01.04.0010.bin,DJI phantom 3 Professional,http://download.dji-innovations.com/downloads/phantom_3/en/Phantom_3_Professional_Firmware_v1.4.0010_en.zip,Phantom_3_Professional_Firmware_v1.4.0010_en.zip,,,
P3X,P3X_FW_V01.05.0030.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.05.0030.zip,P3X_FW_V01.05.0030.zip,,,
P3X,P3X_FW_V01.06.0040.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.06.0040.zip,P3X_FW_V01.06.0040.zip,,,
P3X,P3X_FW_V01.07.0060.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.07.0060.zip,P3X_FW_V01.07.0060.zip,,,interesting - mi01 not encrypted
P3X,P3X_FW_V01.08.0080.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.08.0080.zip,P3X_FW_V01.08.0080.zip,,,interesting - mi02 encrypted
